Id,SepalLengthCm,SepalWidthCm,PetalLengthCm,PetalWidthCm,Species
8,5.0,3.4,1.5,0.2,Iris-setosa
28,5.2,3.5,1.5,0.2,Iris-setosa
145,6.7,3.3,5.7,2.5,Iris-virginica
115,5.8,2.8,5.1,2.4,Iris-virginica
128,6.1,3.0,4.9,1.8,Iris-virginica
58,4.9,2.4,3.3,1.0,Iris-versicolor
60,5.2,2.7,3.9,1.4,Iris-versicolor
39,4.4,3.0,1.3,0.2,Iris-setosa
139,6.0,3.0,4.8,1.8,Iris-virginica
71,5.9,3.2,4.8,1.8,Iris-versicolor
63,6.0,2.2,4.0,1.0,Iris-versicolor
140,6.9,3.1,5.4,2.1,Iris-virginica
68,5.8,2.7,4.1,1.0,Iris-versicolor
1,5.1,3.5,1.4,0.2,Iris-setosa
74,6.1,2.8,4.7,1.2,Iris-versicolor
122,5.6,2.8,4.9,2.0,Iris-virginica
62,5.9,3.0,4.2,1.5,Iris-versicolor
82,5.5,2.4,3.7,1.0,Iris-versicolor
120,6.0,2.2,5.0,1.5,Iris-virginica
15,5.8,4.0,1.2,0.2,Iris-setosa
67,5.6,3.0,4.5,1.5,Iris-versicolor
5,5.0,3.6,1.4,0.2,Iris-setosa
106,7.6,3.0,6.6,2.1,Iris-virginica
36,5.0,3.2,1.2,0.2,Iris-setosa
9,4.4,2.9,1.4,0.2,Iris-setosa
135,6.1,2.6,5.6,1.4,Iris-virginica
119,7.7,2.6,6.9,2.3,Iris-virginica
144,6.8,3.2,5.9,2.3,Iris-virginica
114,5.7,2.5,5.0,2.0,Iris-virginica
98,6.2,2.9,4.3,1.3,Iris-versicolor
124,6.3,2.7,4.9,1.8,Iris-virginica
134,6.3,2.8,5.1,1.5,Iris-virginica
51,7.0,3.2,4.7,1.4,Iris-versicolor
112,6.4,2.7,5.3,1.9,Iris-virginica
93,5.8,2.6,4.0,1.2,Iris-versicolor
147,6.3,2.5,5.0,1.9,Iris-virginica
95,5.6,2.7,4.2,1.3,Iris-versicolor
48,4.6,3.2,1.4,0.2,Iris-setosa
80,5.7,2.6,3.5,1.0,Iris-versicolor
123,7.7,2.8,6.7,2.0,Iris-virginica
79,6.0,2.9,4.5,1.5,Iris-versicolor
45,5.1,3.8,1.9,0.4,Iris-setosa
43,4.4,3.2,1.3,0.2,Iris-setosa
72,6.1,2.8,4.0,1.3,Iris-versicolor
127,6.2,2.8,4.8,1.8,Iris-virginica
81,5.5,2.4,3.8,1.1,Iris-versicolor
16,5.7,4.4,1.5,0.4,Iris-setosa
113,6.8,3.0,5.5,2.1,Iris-virginica
33,5.2,4.1,1.5,0.1,Iris-setosa
110,7.2,3.6,6.1,2.5,Iris-virginica
142,6.9,3.1,5.1,2.3,Iris-virginica
130,7.2,3.0,5.8,1.6,Iris-virginica
132,7.9,3.8,6.4,2.0,Iris-virginica
133,6.4,2.8,5.6,2.2,Iris-virginica
21,5.4,3.4,1.7,0.2,Iris-setosa
12,4.8,3.4,1.6,0.2,Iris-setosa
19,5.7,3.8,1.7,0.3,Iris-setosa
65,5.6,2.9,3.6,1.3,Iris-versicolor
46,4.8,3.0,1.4,0.3,Iris-setosa
85,5.4,3.0,4.5,1.5,Iris-versicolor
29,5.2,3.4,1.4,0.2,Iris-setosa
38,4.9,3.1,1.5,0.1,Iris-setosa
42,4.5,2.3,1.3,0.3,Iris-setosa
11,5.4,3.7,1.5,0.2,Iris-setosa
76,6.6,3.0,4.4,1.4,Iris-versicolor
41,5.0,3.5,1.3,0.3,Iris-setosa
7,4.6,3.4,1.4,0.3,Iris-setosa
83,5.8,2.7,3.9,1.2,Iris-versicolor
84,6.0,2.7,5.1,1.6,Iris-versicolor
101,6.3,3.3,6.0,2.5,Iris-virginica
47,5.1,3.8,1.6,0.2,Iris-setosa
40,5.1,3.4,1.5,0.2,Iris-setosa
136,7.7,3.0,6.1,2.3,Iris-virginica
105,6.5,3.0,5.8,2.2,Iris-virginica
125,6.7,3.3,5.7,2.1,Iris-virginica
102,5.8,2.7,5.1,1.9,Iris-virginica
27,5.0,3.4,1.6,0.4,Iris-setosa
54,5.5,2.3,4.0,1.3,Iris-versicolor
14,4.3,3.0,1.1,0.1,Iris-setosa
6,5.4,3.9,1.7,0.4,Iris-setosa
17,5.4,3.9,1.3,0.4,Iris-setosa
44,5.0,3.5,1.6,0.6,Iris-setosa
2,4.9,3.0,1.4,0.2,Iris-setosa
103,7.1,3.0,5.9,2.1,Iris-virginica
96,5.7,3.0,4.2,1.2,Iris-versicolor
111,6.5,3.2,5.1,2.0,Iris-virginica
137,6.3,3.4,5.6,2.4,Iris-virginica
89,5.6,3.0,4.1,1.3,Iris-versicolor
70,5.6,2.5,3.9,1.1,Iris-versicolor
107,4.9,2.5,4.5,1.7,Iris-virginica
90,5.5,2.5,4.0,1.3,Iris-versicolor
86,6.0,3.4,4.5,1.6,Iris-versicolor
149,6.2,3.4,5.4,2.3,Iris-virginica
26,5.0,3.0,1.6,0.2,Iris-setosa
88,6.3,2.3,4.4,1.3,Iris-versicolor
148,6.5,3.0,5.2,2.0,Iris-virginica
31,4.8,3.1,1.6,0.2,Iris-setosa
59,6.6,2.9,4.6,1.3,Iris-versicolor
97,5.7,2.9,4.2,1.3,Iris-versicolor
75,6.4,2.9,4.3,1.3,Iris-versicolor
